NN Length,NN Time (ms),Two-Opt Length,Two-Opt Time (ms)
8980.91827932919,5,8114.35410339908,40,
8980.91827932919,0,8114.35410339908,31,
8980.91827932919,0,8114.35410339908,30,
8980.91827932919,0,8114.35410339908,29,
8980.91827932919,0,8114.35410339908,27,
8980.91827932919,0,8114.35410339908,26,
8980.91827932919,0,8114.35410339908,31,
8980.91827932919,0,8114.35410339908,28,
8980.91827932919,0,8114.35410339908,28,
8980.91827932919,0,8114.35410339908,29,
8980.91827932919,0,8114.35410339908,29,
8980.91827932919,0,8114.35410339908,28,
8980.91827932919,0,8114.35410339908,27,
8980.91827932919,0,8114.35410339908,27,
8980.91827932919,0,8114.35410339908,28,
8980.91827932919,0,8114.35410339908,26,
8980.91827932919,0,8114.35410339908,27,
8980.91827932919,0,8114.35410339908,28,
8980.91827932919,0,8114.35410339908,30,
8980.91827932919,0,8114.35410339908,34,
8980.91827932919,0,8114.35410339908,32,
8980.91827932919,0,8114.35410339908,26,
8980.91827932919,0,8114.35410339908,29,
8980.91827932919,0,8114.35410339908,26,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,28,
8980.91827932919,0,8114.35410339908,27,
8980.91827932919,0,8114.35410339908,27,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,28,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,33,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,28,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,27,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,27,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,28,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,27,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,27,
8980.91827932919,0,8114.35410339908,27,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,28,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,28,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,28,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,27,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,25,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,23,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,24,
8980.91827932919,0,8114.35410339908,29,
